Date,Adj Close,Close,High,Low,Open,Volume
,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
2026-01-23,5281.064453125,5384.0,5524.5,5368.0,5514.0,460330
2026-01-27,5277.14111328125,5380.0,5424.5,5298.5,5418.0,400942
2026-01-28,5407.10791015625,5512.5,5524.0,5328.5,5407.0,547414
2026-01-29,5473.3173828125,5580.0,5595.0,5472.0,5522.0,337842
2026-01-30,5428.19677734375,5534.0,5595.0,5465.0,5540.5,466102
2026-02-02,5515.4951171875,5623.0,5650.5,5418.0,5550.0,449861
2026-02-03,5652.818359375,5763.0,5791.0,5676.5,5734.0,592655
2026-02-04,5739.62646484375,5851.5,5878.0,5716.5,5747.0,490202
2026-02-05,5655.76123046875,5766.0,5890.0,5745.0,5880.5,331312
2026-02-06,5643.5,5753.5,5841.0,5715.5,5772.0,770475
2026-02-09,5646.44287109375,5756.5,5816.0,5667.0,5800.0,543956
2026-02-10,5643.5,5753.5,5845.0,5718.0,5785.0,816528
2026-02-11,5682.5,5682.5,5750.0,5546.0,5695.0,684908
2026-02-12,5733.0,5733.0,5805.0,5683.5,5704.0,560676
2026-02-13,5584.0,5584.0,5724.5,5560.0,5702.0,394003
2026-02-16,5492.0,5492.0,5623.5,5459.0,5578.0,285719
2026-02-17,5577.0,5577.0,5588.0,5446.5,5490.0,288723
2026-02-18,5592.0,5592.0,5628.0,5546.5,5595.0,197770
2026-02-19,5414.5,5414.5,5644.5,5387.5,5600.0,307768
2026-02-20,5465.0,5465.0,5472.0,5375.0,5400.0,560735
2026-02-23,5488.5,5488.5,5549.0,5437.0,5504.5,310190
2026-02-24,5511.0,5511.0,5523.0,5436.5,5480.0,396015
2026-02-25,5737.5,5737.5,5840.0,5500.5,5511.0,898486
2026-02-26,5787.0,5787.0,5829.0,5718.5,5760.0,489797
2026-02-27,5710.0,5710.0,5800.0,5689.0,5775.0,584546
2026-03-02,5591.5,5591.5,5725.0,5503.0,5565.0,432301
2026-03-04,5500.0,5500.0,5529.0,5427.5,5520.0,455955
2026-03-05,5588.5,5588.5,5622.5,5480.0,5513.5,545405
2026-03-06,5512.5,5512.5,5571.5,5490.0,5571.0,431008
2026-03-09,5480.0,5480.0,5510.0,5337.5,5447.0,306358
2026-03-10,5711.5,5711.5,5733.5,5527.5,5546.5,493375
2026-03-11,5575.0,5575.0,5766.0,5554.0,5729.5,511965
2026-03-12,5394.5,5394.5,5589.0,5376.0,5589.0,476478
2026-03-13,5206.0,5206.0,5377.5,5168.0,5338.0,496250
2026-03-16,5278.5,5278.5,5329.0,5124.5,5198.5,466610
2026-03-17,5355.0,5355.0,5384.0,5232.0,5276.5,403766
2026-03-18,5426.0,5426.0,5488.0,5365.0,5370.0,390261
2026-03-19,5172.5,5172.5,5366.5,5151.0,5349.0,397483
2026-03-20,5275.5,5275.5,5367.5,5216.0,5218.0,1043098
2026-03-23,5065.0,5065.0,5200.0,5051.0,5191.0,340775
2026-03-24,5253.0,5253.0,5317.0,5124.5,5185.0,435050
2026-03-25,5289.5,5289.5,5364.0,5278.0,5305.0,531702
2026-03-27,5143.0,5143.0,5244.0,5125.5,5212.0,535331
2026-03-30,5063.0,5063.0,5140.0,5037.5,5068.0,704213
2026-04-01,5122.0,5122.0,5244.0,5077.5,5152.0,546972
2026-04-02,5011.5,5011.5,5077.0,4904.0,5076.0,753867
2026-04-06,5103.5,5103.5,5122.5,4985.5,5019.5,348536
2026-04-07,5051.0,5051.0,5084.0,4932.0,5075.0,429282
2026-04-08,5287.5,5287.5,5349.5,5243.0,5250.0,790692
2026-04-09,5284.0,5284.0,5380.0,5204.0,5287.5,760419
2026-04-10,5466.5,5466.5,5484.5,5295.5,5297.0,855903
2026-04-13,5247.0,5247.0,5375.0,5202.5,5325.0,743470
2026-04-15,5287.5,5287.5,5361.5,5275.0,5361.5,651858
2026-04-16,5159.5,5159.5,5349.0,5129.5,5315.0,920301
2026-04-17,5230.5,5230.5,5250.0,5130.5,5136.5,545014
2026-04-20,5282.5,5282.5,5318.0,5210.0,5230.5,654258
2026-04-21,5259.0,5259.0,5310.0,5252.0,5260.0,321063
2026-04-22,5189.0,5189.0,5291.0,5178.0,5255.5,293830
2026-04-23,5032.0,5032.0,5160.0,4995.0,5150.0,628266
2026-04-24,4961.5,4961.5,5060.5,4941.5,5035.5,520325
2026-04-27,5043.0,5043.0,5098.0,5005.5,5012.5,448144
2026-04-28,5068.0,5068.0,5105.5,5019.0,5042.5,667998
2026-04-29,5114.5,5114.5,5208.5,5081.5,5094.0,474261
2026-04-30,5099.0,5099.0,5114.5,5020.0,5080.0,478138
2026-05-01,5099.0,5099.0,5099.0,5099.0,5099.0,0
2026-05-04,5066.5,5066.5,5237.0,5006.0,5186.0,617748
2026-05-05,5109.0,5109.0,5135.0,5018.0,5060.0,573411
2026-05-06,5170.0,5170.0,5281.0,4950.0,5240.0,2717300
2026-05-07,5343.0,5343.0,5458.5,5189.5,5235.0,1775531
2026-05-08,5322.0,5322.0,5398.5,5265.0,5341.0,558660
2026-05-11,5228.5,5228.5,5283.5,5146.0,5262.5,447686
2026-05-12,5082.5,5082.5,5270.0,5070.0,5230.0,391060
2026-05-13,4995.0,4995.0,5128.0,4977.0,5117.5,494571
2026-05-14,5077.0,5077.0,5091.0,4880.0,5020.0,594448
2026-05-15,5064.5,5064.5,5139.5,5044.0,5082.0,425856
2026-05-18,4957.0,4957.0,5034.5,4924.0,5034.5,434446
2026-05-19,5007.5,5007.5,5040.0,4932.5,4944.5,560327
2026-05-20,4968.0,4968.0,5015.0,4902.0,4967.0,416572
2026-05-21,4969.5,4969.5,5039.5,4955.5,5020.0,335986
2026-05-22,4966.0,4966.0,5014.5,4950.0,4970.0,284550
2026-05-25,4979.0,4979.0,5065.5,4948.0,5026.0,445788
2026-05-26,4983.0,4983.0,5029.0,4953.0,4979.0,413024
2026-05-27,5075.0,5075.0,5102.0,4980.0,4993.0,460843
2026-05-28,5075.0,5075.0,5075.0,5075.0,5075.0,0
2026-05-29,4903.0,4903.0,5140.0,4875.5,5115.0,1648645
2026-06-01,4819.89990234375,4819.89990234375,4969.0,4761.0,4915.5,856536
2026-06-02,4875.0,4875.0,4892.10009765625,4747.10009765625,4838.39990234375,703263
2026-06-03,4840.89990234375,4840.89990234375,4873.7998046875,4815.0,4856.0,571637
2026-06-04,4882.2998046875,4882.2998046875,4980.0,4850.39990234375,4850.39990234375,783946
2026-06-05,4835.0,4835.0,4904.5,4791.10009765625,4898.0,654540
2026-06-08,4775.5,4775.5,4836.60009765625,4760.60009765625,4795.0,296366
2026-06-09,4855.39990234375,4855.39990234375,4872.2001953125,4768.60009765625,4791.60009765625,481952
2026-06-10,4856.7001953125,4856.7001953125,4985.0,4842.2998046875,4850.60009765625,632203
2026-06-11,4836.2001953125,4836.2001953125,4875.0,4810.2001953125,4840.60009765625,365084
